base,r01none,r01big,r01mid,r01small,r005none,r005big,r005mid,r005small,y01none,y01big,y01mid,y01small,y005none, y005big,y005mid,y005small
155.0571429,145.5285714,147.7,148.4285714,143.4428571,143.2285714,151.8571429,150.5142857,145.7714286,149,156.8571429,155.2285714,146.6428571,152.0428571,156.2285714,156.2142857,153.0428571
145.3428571,136.0857143,138.8285714,139.0571429,134.4571429,133.0428571,142.2571429,141.0142857,136.3428571,139.4857143,147.2571429,145.2714286,137.3142857,142.4,146.3571429,146.6571429,143.1571429
140.2142857,130.7142857,133.6142857,133.9571429,129.1142857,127.6857143,136.6714286,135.7285714,131.1857143,134.2285714,141.8428571,140.1,132.0428571,137.3142857,141.1142857,141.2285714,137.7857143
130,121.2,124.4285714,124.4857143,119.4714286,117.5857143,126.6428571,125.6571429,121.4428571,124.0285714,131.4142857,129.8,122.4285714,127.5428571,130.5571429,130.8428571,127.4571429
124.7,115.3714286,118.6285714,118.5714286,113.6,111.8142857,120.5428571,119.4714286,115.5857143,118.6428571,125.9857143,124.3714286,117.0714286,122.1571429,124.9571429,124.8857143,121.9428571
114.9714286,105.8,108.7142857,108.4428571,103.6571429,101.9,110.0857143,109.0428571,105.3857143,108.9285714,115.5714286,113.6428571,107.0571429,112.0142857,114.6285714,114.1714286,111.7285714
108.8285714,100.0142857,103.1,102.7571429,97.97142857,96.02857143,104.1714286,103.1571429,99.41428571,102.7428571,109.2285714,107.2285714,101.0571429,106.3142857,108.4,108.2,105.5285714
99.87142857,90.68571429,93.3,93.07142857,88.84285714,86.05714286,94.01428571,93.17142857,89.82857143,94.18571429,99.58571429,98,92.08571429,97.45714286,99,97.78571429,96.14285714
93.81428571,85.05714286,87.85714286,87.41428571,83.37142857,80.61428571,88.27142857,87.48571429,84.21428571,87.97142857,92.92857143,91.77142857,85.18571429,91.11428571,92.42857143,91.61428571,89.97142857
86.22857143,77.78571429,79.34285714,79.32857143,75.88571429,73.21428571,80.08571429,79.48571429,76.77142857,81.2,85.18571429,84.22857143,78.18571429,83.8,85.05714286,83.51428571,82.65714286
80.35714286,72.67142857,73.98571429,74.35714286,70.97142857,68.85714286,75.07142857,74.45714286,71.82857143,75.74285714,79.54285714,78.65714286,72.54285714,78.32857143,79.2,77.87142857,77.01428571
75.17142857,67.4,68.12857143,68.84285714,66.1,64.24285714,69.75714286,68.92857143,66.7,70.91428571,74.48571429,73.58571429,67.9,73.38571429,74.18571429,72.54285714,72.04285714
70.72857143,63.98571429,64.61428571,65.31428571,63.27142857,61.64285714,66.28571429,65.92857143,63.95714286,67.18571429,70.58571429,69.65714286,64.45714286,68.82857143,70.28571429,68.58571429,68.31428571
67.08571429,60.54285714,61.71428571,62.4,60.64285714,58.78571429,63.04285714,62.9,61.25714286,64,67.27142857,66.72857143,61.81428571,65.44285714,67.22857143,65.31428571,65.17142857
64.87142857,58.71428571,59.78571429,60.5,58.9,57.65714286,61.37142857,61.08571429,59.41428571,61.82857143,65.28571429,64.71428571,59.72857143,63.11428571,65.2,63.11428571,63.54285714
62.05714286,56.02857143,57.08571429,57.81428571,56.3,54.71428571,58.55714286,58.2,56.81428571,59.35714286,62.58571429,61.94285714,57.08571429,60.45714286,62.52857143,60.51428571,60.72857143
59.88571429,54.65714286,56.05714286,56.54285714,55.3,53.94285714,57.37142857,57.02857143,55.68571429,57.42857143,60.94285714,60.28571429,55.65714286,58.52857143,61.04285714,58.95714286,59.2
57.74285714,51.51428571,52.95714286,53.44285714,52.01428571,50.21428571,54.1,53.87142857,52.5,55.04285714,58.5,57.68571429,52.7,56.3,58.31428571,55.92857143,56.34285714
55.87142857,50.14285714,51.98571429,52.31428571,51.17142857,49.51428571,53,52.65714286,51.31428571,53.5,56.94285714,56.25714286,51.2,54.64285714,56.81428571,54.75714286,54.9
52.65714286,46.77142857,48.32857143,48.54285714,47.25714286,45.35714286,49.17142857,48.95714286,47.48571429,50.11428571,53.57142857,52.7,47.48571429,51.35714286,53.34285714,50.98571429,51.28571429
50.98571429,45.25714286,47.27142857,47.58571429,46.28571429,44.47142857,48.05714286,47.84285714,46.41428571,48.31428571,51.81428571,51.1,46.27142857,49.7,51.62857143,49.78571429,49.67142857
47.18571429,41.28571429,43.05714286,43.41428571,42.05714286,39.87142857,43.94285714,43.77142857,42.38571429,44.77142857,48.08571429,47.35714286,42.15714286,46,47.95714286,45.61428571,45.57142857
45.42857143,39.94285714,42.24285714,42.28571429,41.05714286,39.07142857,42.68571429,42.48571429,41.14285714,43.27142857,46.62857143,45.92857143,40.91428571,44.52857143,46.5,44.22857143,44.27142857
41.32857143,36.25714286,37.92857143,38.17142857,36.95714286,34.45714286,38.67142857,38.44285714,37.11428571,39.5,42.37142857,41.71428571,36.67142857,40.55714286,42.3,39.88571429,40.32857143
40.38571429,34.88571429,36.82857143,37.04285714,35.91428571,33.62857143,37.64285714,37.17142857,35.92857143,37.65714286,41.12857143,40.44285714,35.31428571,38.95714286,40.87142857,38.77142857,38.84285714
35.6,31.32857143,32.9,32.95714286,31.7,28.97142857,33.62857143,33.22857143,31.95714286,33.28571429,36.6,35.95714286,31.14285714,34.77142857,36.42857143,34.81428571,34.65714286
34.52857143,29.65714286,31.64285714,31.67142857,30.45714286,28.17142857,32.15714286,31.85714286,30.51428571,31.84285714,35.04285714,34.52857143,29.61428571,33.07142857,34.91428571,33.1,32.9
29.85714286,26.07142857,27.54285714,27.72857143,26.38571429,23.78571429,28.24285714,27.88571429,26.47142857,27.45714286,30.55714286,29.97142857,25.48571429,28.64285714,30.22857143,29.1,28.85714286
28.71428571,24.55714286,26.02857143,26.27142857,25.14285714,22.91428571,26.5,26.18571429,25.05714286,25.9,28.82857143,28.12857143,23.75714286,27.11428571,28.41428571,27.25714286,26.71428571
24.28571429,20.85714286,22.1,22.05714286,20.8,18.75714286,22.54285714,22.25714286,21.02857143,22.11428571,24.85714286,23.8,19.64285714,23.42857143,24.3,23.2,22.78571429
